COD_ENTE;MUN;NUM_ANO;NUM_PERI;COD_INDI;COD_EXIB;CATEG;INDICADOR;VAL_INDI
3100906;Águas Formosas;2015;1;24;1.1;Indicador legal;1.1 - Percentual de aplicação das receitas de impostos e transferências vinculadas à educação em MDE (mínimo de 25% para estados, DF e municípios);0,2820
3100906;Águas Formosas;2015;1;67;1.2;Indicador legal;1.2 - Percentual de aplicação do FUNDEB na remuneração dos profissionais da educação (mínimo de 70%) - Inciso XXII, Portaria Conjunta MGI/MF/CGU Nº 33 de30-08-2023;0,7194
3100906;Águas Formosas;2015;1;68;1.3;Indicador legal;1.3 - Percentual de aplicação do FUNDEB em despesas com MDE, que não remuneração dos profissionais da educação (máximo de 30%);0,2728
3100906;Águas Formosas;2015;1;28;2.1;Indicador de dispêndio financeiro;2.1 - Percentual dos recursos do FUNDEB aplicados na educação infantil;0,2206
3100906;Águas Formosas;2015;1;47;2.10;Indicador de dispêndio financeiro;2.10 - Investimento com material didático por aluno da educação básica;39,71
3100906;Águas Formosas;2015;1;48;2.11;Indicador de dispêndio financeiro;2.11 - Percentual de despesas correntes em educação em relação à despesa total em MDE;1,1440
3100906;Águas Formosas;2015;1;49;2.12;Indicador de dispêndio financeiro;2.12 - Percentual de investimentos de capital em educação em relação à despesa total em MDE;0,0079
3100906;Águas Formosas;2015;1;29;2.2;Indicador de dispêndio financeiro;2.2 - Percentual dos recursos do FUNDEB aplicados no ensino fundamental;0,6747
3100906;Águas Formosas;2015;1;31;2.4;Indicador de dispêndio financeiro;2.4 - Percentual das despesas com educação infantil em relação à despesa total com educação;0,3711
3100906;Águas Formosas;2015;1;32;2.5;Indicador de dispêndio financeiro;2.5 - Percentual das despesas com ensino fundamental em relação à despesa total com educação;0,5985
3100906;Águas Formosas;2015;1;35;2.8;Indicador de dispêndio financeiro;2.8 - Percentual das despesas em educação em relação às despesas de todas as áreas;0,3087
3100906;Águas Formosas;2015;1;36;2.9;Indicador de dispêndio financeiro;2.9 - Percentual das despesas com alimentação escolar em relação à despesa total com educação;
3100906;Águas Formosas;2015;1;38;3.1;Indicador de dispêndio com pessoal;3.1 - Percentual das despesas com aposentadorias e pensões da área educacional em relação às despesas totais com MDE;0,0443
3100906;Águas Formosas;2015;1;39;3.2;Indicador de dispêndio com pessoal;3.2 - Percentual das despesas com pessoal e encargos sociais da área educacional em relação à despesa total com MDE;0,9832
3100906;Águas Formosas;2015;1;42;3.5;Indicador de dispêndio com pessoal;3.5 - Percentual das despesas com professores em relação à despesa total com MDE;0,3957
3100906;Águas Formosas;2015;1;43;3.6;Indicador de dispêndio com pessoal;3.6 - Percentual das despesas com profissionais não docentes em relação à despesa total com MDE;0,2991
3100906;Águas Formosas;2015;1;44;4.1;Indicador de investimento por aluno;4.1 - Investimento educacional por aluno da educação infantil;4090,75
