COD_ENTE;MUN;NUM_ANO;NUM_PERI;COD_INDI;COD_EXIB;VAL_INDI
3127057;Fronteira dos Vales;2015;1;24;1.1;32.0
3127057;Fronteira dos Vales;2015;1;28;2.1;0.0
3127057;Fronteira dos Vales;2015;1;29;2.2;94.88
3127057;Fronteira dos Vales;2015;1;30;2.3;0.0
3127057;Fronteira dos Vales;2015;1;31;2.4;6.17
3127057;Fronteira dos Vales;2015;1;32;2.5;86.07
3127057;Fronteira dos Vales;2015;1;33;2.6;0.0
3127057;Fronteira dos Vales;2015;1;34;2.7;0.0
3127057;Fronteira dos Vales;2015;1;35;2.8;29.02
3127057;Fronteira dos Vales;2015;1;36;2.9;0.0
3127057;Fronteira dos Vales;2015;1;38;3.1;0.0
3127057;Fronteira dos Vales;2015;1;39;3.2;99.19
3127057;Fronteira dos Vales;2015;1;42;3.5;32.89
3127057;Fronteira dos Vales;2015;1;43;3.6;42.47
3127057;Fronteira dos Vales;2015;1;44;4.1;1800.03
3127057;Fronteira dos Vales;2015;1;45;4.2;8410.91
3127057;Fronteira dos Vales;2015;1;46;4.3;0.0
3127057;Fronteira dos Vales;2015;1;47;2.10;0.0
3127057;Fronteira dos Vales;2015;1;48;2.11;97.43
3127057;Fronteira dos Vales;2015;1;49;2.12;2.56
3127057;Fronteira dos Vales;2015;1;52;4.4;0.0
3127057;Fronteira dos Vales;2015;1;53;4.5;1400.0
3127057;Fronteira dos Vales;2015;1;54;4.6;2200.0
3127057;Fronteira dos Vales;2015;1;55;4.7;0.0
3127057;Fronteira dos Vales;2015;1;56;4.8;6369.41
3127057;Fronteira dos Vales;2015;1;57;4.9;6369.41
3127057;Fronteira dos Vales;2015;1;58;4.10;2216.65
3127057;Fronteira dos Vales;2015;1;59;4.11;2862.24
3127057;Fronteira dos Vales;2015;1;60;4.12;0.0
3127057;Fronteira dos Vales;2015;1;67;1.2;82.55
3127057;Fronteira dos Vales;2015;1;68;1.3;17.45
3127057;Fronteira dos Vales;2015;1;73;5.5;3.6
3127057;Fronteira dos Vales;2015;1;75;5.7;1.3
3127057;Fronteira dos Vales;2015;1;82;5.3;95.1
3127057;Fronteira dos Vales;2015;1;84;4.14;0.0
3127057;Fronteira dos Vales;2015;1;85;4.15;1800.03
3127057;Fronteira dos Vales;2016;1;24;1.1;31.24
3127057;Fronteira dos Vales;2016;1;28;2.1;0.0
3127057;Fronteira dos Vales;2016;1;29;2.2;87.4
3127057;Fronteira dos Vales;2016;1;30;2.3;0.0
3127057;Fronteira dos Vales;2016;1;31;2.4;12.57
3127057;Fronteira dos Vales;2016;1;32;2.5;79.53
3127057;Fronteira dos Vales;2016;1;33;2.6;0.0
3127057;Fronteira dos Vales;2016;1;34;2.7;0.0
3127057;Fronteira dos Vales;2016;1;35;2.8;19.26
3127057;Fronteira dos Vales;2016;1;36;2.9;0.0
3127057;Fronteira dos Vales;2016;1;38;3.1;0.0
3127057;Fronteira dos Vales;2016;1;39;3.2;98.63
3127057;Fronteira dos Vales;2016;1;42;3.5;30.36
3127057;Fronteira dos Vales;2016;1;43;3.6;44.17
3127057;Fronteira dos Vales;2016;1;44;4.1;3876.7
3127057;Fronteira dos Vales;2016;1;45;4.2;7092.38
3127057;Fronteira dos Vales;2016;1;46;4.3;0.0
3127057;Fronteira dos Vales;2016;1;47;2.10;0.0
3127057;Fronteira dos Vales;2016;1;48;2.11;99.78
3127057;Fronteira dos Vales;2016;1;49;2.12;0.21
3127057;Fronteira dos Vales;2016;1;52;4.4;0.0
3127057;Fronteira dos Vales;2016;1;53;4.5;2484.45
3127057;Fronteira dos Vales;2016;1;54;4.6;2080.0
3127057;Fronteira dos Vales;2016;1;55;4.7;0.0
3127057;Fronteira dos Vales;2016;1;56;4.8;6288.28
3127057;Fronteira dos Vales;2016;1;57;4.9;6288.28
3127057;Fronteira dos Vales;2016;1;58;4.10;2056.91
3127057;Fronteira dos Vales;2016;1;59;4.11;2992.95
3127057;Fronteira dos Vales;2016;1;60;4.12;0.0
3127057;Fronteira dos Vales;2016;1;67;1.2;67.13
3127057;Fronteira dos Vales;2016;1;68;1.3;32.8
3127057;Fronteira dos Vales;2016;1;73;5.5;11.3
3127057;Fronteira dos Vales;2016;1;75;5.7;1.6
3127057;Fronteira dos Vales;2016;1;82;5.3;87.1
3127057;Fronteira dos Vales;2016;1;84;4.14;0.0
3127057;Fronteira dos Vales;2016;1;85;4.15;3876.71
3127057;Fronteira dos Vales;2017;6;24;1.1;26.09
3127057;Fronteira dos Vales;2017;6;28;2.1;3.13
3127057;Fronteira dos Vales;2017;6;29;2.2;96.87
3127057;Fronteira dos Vales;2017;6;30;2.3;0.0
3127057;Fronteira dos Vales;2017;6;31;2.4;1.82
3127057;Fronteira dos Vales;2017;6;32;2.5;89.93
3127057;Fronteira dos Vales;2017;6;33;2.6;0.0
3127057;Fronteira dos Vales;2017;6;34;2.7;0.0
3127057;Fronteira dos Vales;2017;6;35;2.8;27.5
3127057;Fronteira dos Vales;2017;6;36;2.9;0.0
3127057;Fronteira dos Vales;2017;6;38;3.1;0.0
3127057;Fronteira dos Vales;2017;6;39;3.2;99.76
3127057;Fronteira dos Vales;2017;6;42;3.5;70.8
3127057;Fronteira dos Vales;2017;6;43;3.6;20.95
3127057;Fronteira dos Vales;2017;6;44;4.1;582.52
3127057;Fronteira dos Vales;2017;6;45;4.2;8408.24
3127057;Fronteira dos Vales;2017;6;46;4.3;0.0
3127057;Fronteira dos Vales;2017;6;47;2.10;0.0
3127057;Fronteira dos Vales;2017;6;48;2.11;100.0
3127057;Fronteira dos Vales;2017;6;49;2.12;0.0
3127057;Fronteira dos Vales;2017;6;52;4.4;0.0
3127057;Fronteira dos Vales;2017;6;53;4.5;3750.0
3127057;Fronteira dos Vales;2017;6;54;4.6;5000.0
3127057;Fronteira dos Vales;2017;6;55;4.7;0.0
3127057;Fronteira dos Vales;2017;6;56;4.8;6560.13
3127057;Fronteira dos Vales;2017;6;57;4.9;6560.13
3127057;Fronteira dos Vales;2017;6;58;4.10;5062.09
3127057;Fronteira dos Vales;2017;6;59;4.11;1498.04
3127057;Fronteira dos Vales;2017;6;60;4.12;0.0
3127057;Fronteira dos Vales;2017;6;61;4.13;0.0
3127057;Fronteira dos Vales;2017;6;65;5.1;5.8
3127057;Fronteira dos Vales;2017;6;67;1.2;64.07
3127057;Fronteira dos Vales;2017;6;68;1.3;35.93
3127057;Fronteira dos Vales;2017;6;73;5.5;0.6
3127057;Fronteira dos Vales;2017;6;75;5.7;1.2
3127057;Fronteira dos Vales;2017;6;82;5.3;98.2
3127057;Fronteira dos Vales;2017;6;84;4.14;0.0
3127057;Fronteira dos Vales;2017;6;85;4.15;582.52
3127057;Fronteira dos Vales;2018;6;24;1.1;29.18
3127057;Fronteira dos Vales;2018;6;28;2.1;0.0
3127057;Fronteira dos Vales;2018;6;29;2.2;95.2
3127057;Fronteira dos Vales;2018;6;30;2.3;0.0
3127057;Fronteira dos Vales;2018;6;31;2.4;9.93
3127057;Fronteira dos Vales;2018;6;32;2.5;81.43
3127057;Fronteira dos Vales;2018;6;33;2.6;0.0
3127057;Fronteira dos Vales;2018;6;34;2.7;0.0
3127057;Fronteira dos Vales;2018;6;35;2.8;26.65
3127057;Fronteira dos Vales;2018;6;36;2.9;0.0
3127057;Fronteira dos Vales;2018;6;38;3.1;0.0
3127057;Fronteira dos Vales;2018;6;39;3.2;99.64
3127057;Fronteira dos Vales;2018;6;42;3.5;57.26
3127057;Fronteira dos Vales;2018;6;43;3.6;34.09
3127057;Fronteira dos Vales;2018;6;44;4.1;2791.67
3127057;Fronteira dos Vales;2018;6;45;4.2;8920.59
3127057;Fronteira dos Vales;2018;6;46;4.3;0.0
3127057;Fronteira dos Vales;2018;6;47;2.10;0.0
3127057;Fronteira dos Vales;2018;6;48;2.11;100.0
3127057;Fronteira dos Vales;2018;6;49;2.12;0.0
3127057;Fronteira dos Vales;2018;6;52;4.4;0.0
3127057;Fronteira dos Vales;2018;6;53;4.5;0.0
3127057;Fronteira dos Vales;2018;6;54;4.6;0.0
3127057;Fronteira dos Vales;2018;6;55;4.7;0.0
3127057;Fronteira dos Vales;2018;6;56;4.8;7202.2
3127057;Fronteira dos Vales;2018;6;57;4.9;7202.2
3127057;Fronteira dos Vales;2018;6;58;4.10;4514.47
3127057;Fronteira dos Vales;2018;6;59;4.11;2687.73
3127057;Fronteira dos Vales;2018;6;60;4.12;0.0
3127057;Fronteira dos Vales;2018;6;61;4.13;0.0
3127057;Fronteira dos Vales;2018;6;67;1.2;83.47
3127057;Fronteira dos Vales;2018;6;68;1.3;16.53
3127057;Fronteira dos Vales;2018;6;84;4.14;0.0
3127057;Fronteira dos Vales;2018;6;85;4.15;2791.67
3127057;Fronteira dos Vales;2019;6;24;1.1;28.75
3127057;Fronteira dos Vales;2019;6;28;2.1;0.0
3127057;Fronteira dos Vales;2019;6;29;2.2;97.31
3127057;Fronteira dos Vales;2019;6;30;2.3;0.0
3127057;Fronteira dos Vales;2019;6;31;2.4;14.22
3127057;Fronteira dos Vales;2019;6;32;2.5;81.57
3127057;Fronteira dos Vales;2019;6;33;2.6;0.0
3127057;Fronteira dos Vales;2019;6;34;2.7;0.0
3127057;Fronteira dos Vales;2019;6;35;2.8;23.5
3127057;Fronteira dos Vales;2019;6;36;2.9;0.0
3127057;Fronteira dos Vales;2019;6;38;3.1;0.0
3127057;Fronteira dos Vales;2019;6;39;3.2;100.0
3127057;Fronteira dos Vales;2019;6;42;3.5;78.42
3127057;Fronteira dos Vales;2019;6;43;3.6;11.05
3127057;Fronteira dos Vales;2019;6;44;4.1;3750.0
3127057;Fronteira dos Vales;2019;6;45;4.2;8383.27
3127057;Fronteira dos Vales;2019;6;46;4.3;0.0
3127057;Fronteira dos Vales;2019;6;47;2.10;0.0
3127057;Fronteira dos Vales;2019;6;48;2.11;100.0
3127057;Fronteira dos Vales;2019;6;49;2.12;0.0
3127057;Fronteira dos Vales;2019;6;52;4.4;0.0
3127057;Fronteira dos Vales;2019;6;53;4.5;0.0
3127057;Fronteira dos Vales;2019;6;54;4.6;0.0
3127057;Fronteira dos Vales;2019;6;55;4.7;0.0
3127057;Fronteira dos Vales;2019;6;56;4.8;7084.22
3127057;Fronteira dos Vales;2019;6;57;4.9;7084.22
3127057;Fronteira dos Vales;2019;6;58;4.10;5799.75
3127057;Fronteira dos Vales;2019;6;59;4.11;817.18
3127057;Fronteira dos Vales;2019;6;60;4.12;0.0
3127057;Fronteira dos Vales;2019;6;61;4.13;0.0
3127057;Fronteira dos Vales;2019;6;67;1.2;64.33
3127057;Fronteira dos Vales;2019;6;68;1.3;32.98
3127057;Fronteira dos Vales;2019;6;84;4.14;0.0
3127057;Fronteira dos Vales;2019;6;85;4.15;3750.0
3127057;Fronteira dos Vales;2020;6;24;1.1;28.92
3127057;Fronteira dos Vales;2020;6;28;2.1;5.93
3127057;Fronteira dos Vales;2020;6;29;2.2;95.78
3127057;Fronteira dos Vales;2020;6;30;2.3;0.0
3127057;Fronteira dos Vales;2020;6;31;2.4;0.0
3127057;Fronteira dos Vales;2020;6;32;2.5;0.0
3127057;Fronteira dos Vales;2020;6;33;2.6;0.0
3127057;Fronteira dos Vales;2020;6;34;2.7;0.0
3127057;Fronteira dos Vales;2020;6;35;2.8;0.0
3127057;Fronteira dos Vales;2020;6;36;2.9;0.0
3127057;Fronteira dos Vales;2020;6;38;3.1;0.0
3127057;Fronteira dos Vales;2020;6;39;3.2;0.0
3127057;Fronteira dos Vales;2020;6;42;3.5;0.0
3127057;Fronteira dos Vales;2020;6;43;3.6;0.0
3127057;Fronteira dos Vales;2020;6;44;4.1;3163.38
3127057;Fronteira dos Vales;2020;6;45;4.2;9014.91
3127057;Fronteira dos Vales;2020;6;46;4.3;0.0
3127057;Fronteira dos Vales;2020;6;47;2.10;0.0
3127057;Fronteira dos Vales;2020;6;48;2.11;0.0
3127057;Fronteira dos Vales;2020;6;49;2.12;0.0
3127057;Fronteira dos Vales;2020;6;52;4.4;0.0
3127057;Fronteira dos Vales;2020;6;53;4.5;0.0
3127057;Fronteira dos Vales;2020;6;54;4.6;0.0
3127057;Fronteira dos Vales;2020;6;55;4.7;0.0
3127057;Fronteira dos Vales;2020;6;56;4.8;7734.88
3127057;Fronteira dos Vales;2020;6;57;4.9;7734.88
3127057;Fronteira dos Vales;2020;6;58;4.10;0.0
3127057;Fronteira dos Vales;2020;6;59;4.11;5618.79
3127057;Fronteira dos Vales;2020;6;60;4.12;0.0
3127057;Fronteira dos Vales;2020;6;61;4.13;0.0
3127057;Fronteira dos Vales;2020;6;65;5.1;0.0
3127057;Fronteira dos Vales;2020;6;66;5.2;0.0
3127057;Fronteira dos Vales;2020;6;67;1.2;61.47
3127057;Fronteira dos Vales;2020;6;68;1.3;35.95
3127057;Fronteira dos Vales;2020;6;84;4.14;0.0
3127057;Fronteira dos Vales;2020;6;85;4.15;3163.38
3127057;Fronteira dos Vales;2021;6;24;1.1;24.66
3127057;Fronteira dos Vales;2021;6;28;2.1;8.01
3127057;Fronteira dos Vales;2021;6;29;2.2;89.0
3127057;Fronteira dos Vales;2021;6;30;2.3;0.0
3127057;Fronteira dos Vales;2021;6;31;2.4;5.4
3127057;Fronteira dos Vales;2021;6;32;2.5;88.07
3127057;Fronteira dos Vales;2021;6;33;2.6;0.0
3127057;Fronteira dos Vales;2021;6;34;2.7;0.0
3127057;Fronteira dos Vales;2021;6;35;2.8;17.24
3127057;Fronteira dos Vales;2021;6;36;2.9;0.0
3127057;Fronteira dos Vales;2021;6;38;3.1;0.0
3127057;Fronteira dos Vales;2021;6;39;3.2;0.0
3127057;Fronteira dos Vales;2021;6;42;3.5;0.0
3127057;Fronteira dos Vales;2021;6;43;3.6;0.0
3127057;Fronteira dos Vales;2021;6;44;4.1;2707.02
3127057;Fronteira dos Vales;2021;6;45;4.2;9693.81
3127057;Fronteira dos Vales;2021;6;46;4.3;0.0
3127057;Fronteira dos Vales;2021;6;47;2.10;0.0
3127057;Fronteira dos Vales;2021;6;48;2.11;0.0
3127057;Fronteira dos Vales;2021;6;49;2.12;0.0
3127057;Fronteira dos Vales;2021;6;52;4.4;0.0
3127057;Fronteira dos Vales;2021;6;53;4.5;0.0
3127057;Fronteira dos Vales;2021;6;54;4.6;0.0
3127057;Fronteira dos Vales;2021;6;55;4.7;0.0
3127057;Fronteira dos Vales;2021;6;56;4.8;9025.91
3127057;Fronteira dos Vales;2021;6;57;4.9;9025.91
3127057;Fronteira dos Vales;2021;6;58;4.10;4226.45
3127057;Fronteira dos Vales;2021;6;59;4.11;1563.02
3127057;Fronteira dos Vales;2021;6;60;4.12;0.0
3127057;Fronteira dos Vales;2021;6;61;4.13;0.0
3127057;Fronteira dos Vales;2021;6;67;1.2;70.8
3127057;Fronteira dos Vales;2021;6;68;1.3;26.21
3127057;Fronteira dos Vales;2021;6;84;4.14;0.0
3127057;Fronteira dos Vales;2021;6;85;4.15;2707.02
3127057;Fronteira dos Vales;2022;6;24;1.1;27.5
3127057;Fronteira dos Vales;2022;6;28;2.1;2.39
3127057;Fronteira dos Vales;2022;6;29;2.2;99.13
3127057;Fronteira dos Vales;2022;6;30;2.3;0.0
3127057;Fronteira dos Vales;2022;6;31;2.4;2.87
3127057;Fronteira dos Vales;2022;6;32;2.5;72.4
3127057;Fronteira dos Vales;2022;6;33;2.6;0.0
3127057;Fronteira dos Vales;2022;6;34;2.7;0.0
3127057;Fronteira dos Vales;2022;6;35;2.8;22.13
3127057;Fronteira dos Vales;2022;6;36;2.9;0.0
3127057;Fronteira dos Vales;2022;6;38;3.1;0.0
3127057;Fronteira dos Vales;2022;6;39;3.2;0.0
3127057;Fronteira dos Vales;2022;6;42;3.5;0.0
3127057;Fronteira dos Vales;2022;6;43;3.6;0.0
3127057;Fronteira dos Vales;2022;6;44;4.1;2195.29
3127057;Fronteira dos Vales;2022;6;45;4.2;14257.68
3127057;Fronteira dos Vales;2022;6;46;4.3;0.0
3127057;Fronteira dos Vales;2022;6;47;2.10;0.0
3127057;Fronteira dos Vales;2022;6;48;2.11;0.0
3127057;Fronteira dos Vales;2022;6;49;2.12;0.0
3127057;Fronteira dos Vales;2022;6;52;4.4;0.0
3127057;Fronteira dos Vales;2022;6;53;4.5;0.0
3127057;Fronteira dos Vales;2022;6;54;4.6;0.0
3127057;Fronteira dos Vales;2022;6;55;4.7;0.0
3127057;Fronteira dos Vales;2022;6;56;4.8;15658.36
3127057;Fronteira dos Vales;2022;6;57;4.9;15658.36
3127057;Fronteira dos Vales;2022;6;58;4.10;6710.66
3127057;Fronteira dos Vales;2022;6;59;4.11;0.0
3127057;Fronteira dos Vales;2022;6;60;4.12;0.0
3127057;Fronteira dos Vales;2022;6;61;4.13;0.0
3127057;Fronteira dos Vales;2022;6;67;1.2;100.0
3127057;Fronteira dos Vales;2022;6;68;1.3;0.0
3127057;Fronteira dos Vales;2022;6;84;4.14;0.0
3127057;Fronteira dos Vales;2022;6;85;4.15;2195.29
3127057;Fronteira dos Vales;2023;6;24;1.1;30.51
3127057;Fronteira dos Vales;2023;6;28;2.1;8.72
3127057;Fronteira dos Vales;2023;6;29;2.2;82.89
3127057;Fronteira dos Vales;2023;6;30;2.3;0.0
3127057;Fronteira dos Vales;2023;6;31;2.4;6.79
3127057;Fronteira dos Vales;2023;6;32;2.5;76.18
3127057;Fronteira dos Vales;2023;6;33;2.6;0.0
3127057;Fronteira dos Vales;2023;6;34;2.7;0.0
3127057;Fronteira dos Vales;2023;6;35;2.8;20.84
3127057;Fronteira dos Vales;2023;6;36;2.9;0.1
3127057;Fronteira dos Vales;2023;6;38;3.1;0.0
3127057;Fronteira dos Vales;2023;6;39;3.2;0.0
3127057;Fronteira dos Vales;2023;6;42;3.5;0.0
3127057;Fronteira dos Vales;2023;6;43;3.6;0.0
3127057;Fronteira dos Vales;2023;6;44;4.1;4164.16
3127057;Fronteira dos Vales;2023;6;45;4.2;17626.88
