NU_ANO_CENSO;CO_MUNICIPIO;NO_MUNICIPIO;Soma de QT_MAT_FUND
2015;3100906;Águas Formosas;415
2015;3104700;Ataléia;534
2015;3106606;Bertópolis;213
2015;3113701;Carlos Chagas;1722
2015;3115458;Catuji;671
2015;3120151;Crisólita;679
2015;3126752;Franciscópolis;349
2015;3126802;Frei Gaspar;745
2015;3127057;Fronteira dos Vales;316
2015;3132305;Itaipé;1358
2015;3137007;Ladainha;1100
2015;3138906;Machacalis;468
2015;3139201;Malacacheta;619
2015;3144300;Nanuque;1277
2015;3145356;Novo Oriente de Minas;646
2015;3146206;Ouro Verde de Minas;349
2015;3148509;Pavão;298
2015;3152402;Poté;1193
2015;3157658;Santa Helena de Minas;359
2015;3165552;Setubinha;491
2015;3166709;Serra dos Aimorés;476
2015;3168606;Teófilo Otoni;5953
2015;3170305;Umburatiba;338
2016;3100906;Águas Formosas;407
2016;3104700;Ataléia;508
2016;3106606;Bertópolis;222
2016;3113701;Carlos Chagas;1641
2016;3115458;Catuji;655
2016;3120151;Crisólita;640
2016;3126752;Franciscópolis;366
2016;3126802;Frei Gaspar;615
2016;3127057;Fronteira dos Vales;332
2016;3132305;Itaipé;1244
2016;3137007;Ladainha;1026
2016;3138906;Machacalis;449
2016;3139201;Malacacheta;562
2016;3144300;Nanuque;1219
2016;3145356;Novo Oriente de Minas;647
2016;3146206;Ouro Verde de Minas;336
2016;3148509;Pavão;283
2016;3152402;Poté;1139
2016;3157658;Santa Helena de Minas;350
2016;3165552;Setubinha;455
2016;3166709;Serra dos Aimorés;448
2016;3168606;Teófilo Otoni;5787
2016;3170305;Umburatiba;310
2017;3100906;Águas Formosas;378
2017;3104700;Ataléia;492
2017;3106606;Bertópolis;226
2017;3113701;Carlos Chagas;1668
2017;3115458;Catuji;641
2017;3120151;Crisólita;614
2017;3126752;Franciscópolis;351
2017;3126802;Frei Gaspar;621
2017;3127057;Fronteira dos Vales;347
2017;3132305;Itaipé;1222
2017;3137007;Ladainha;951
2017;3138906;Machacalis;437
2017;3139201;Malacacheta;500
2017;3144300;Nanuque;1109
2017;3145356;Novo Oriente de Minas;630
2017;3146206;Ouro Verde de Minas;316
2017;3148509;Pavão;265
2017;3152402;Poté;1099
2017;3157658;Santa Helena de Minas;338
2017;3165552;Setubinha;406
2017;3166709;Serra dos Aimorés;468
2017;3168606;Teófilo Otoni;5842
2017;3170305;Umburatiba;305
2018;3100906;Águas Formosas;341
2018;3104700;Ataléia;513
2018;3106606;Bertópolis;212
2018;3113701;Carlos Chagas;1627
2018;3115458;Catuji;587
2018;3120151;Crisólita;575
2018;3126752;Franciscópolis;312
2018;3126802;Frei Gaspar;534
2018;3127057;Fronteira dos Vales;308
2018;3132305;Itaipé;1118
2018;3137007;Ladainha;843
2018;3138906;Machacalis;394
2018;3139201;Malacacheta;474
2018;3144300;Nanuque;1099
2018;3145356;Novo Oriente de Minas;610
2018;3146206;Ouro Verde de Minas;293
2018;3148509;Pavão;275
2018;3152402;Poté;1030
2018;3157658;Santa Helena de Minas;306
2018;3165552;Setubinha;389
2018;3166709;Serra dos Aimorés;374
2018;3168606;Teófilo Otoni;5954
2018;3170305;Umburatiba;293
2019;3100906;Águas Formosas;336
2019;3104700;Ataléia;471
2019;3106606;Bertópolis;197
2019;3113701;Carlos Chagas;1598
2019;3115458;Catuji;541
2019;3120151;Crisólita;509
2019;3126752;Franciscópolis;275
2019;3126802;Frei Gaspar;530
2019;3127057;Fronteira dos Vales;325
2019;3132305;Itaipé;1118
