ano;codigo
2015;3100906
2016;3100906
2017;3100906
2018;3100906
2019;3100906
2020;3100906
2021;3100906
2022;3100906
2023;3100906
2024;3100906
2015;3104700
2016;3104700
2017;3104700
2018;3104700
2019;3104700
2020;3104700
2021;3104700
2022;3104700
2023;3104700
2024;3104700
2015;3106606
2016;3106606
2017;3106606
2018;3106606
2019;3106606
2020;3106606
2021;3106606
2022;3106606
2023;3106606
2024;3106606
2015;3113701
2016;3113701
2017;3113701
2018;3113701
2019;3113701
2020;3113701
2021;3113701
2022;3113701
2023;3113701
2024;3113701
2015;3115458
2016;3115458
2017;3115458
2018;3115458
2019;3115458
2020;3115458
2021;3115458
2022;3115458
2023;3115458
2024;3115458
2015;3120151
2016;3120151
2017;3120151
2018;3120151
2019;3120151
2020;3120151
2021;3120151
2022;3120151
2023;3120151
2024;3120151
2015;3126752
2016;3126752
2017;3126752
2018;3126752
2019;3126752
2020;3126752
2021;3126752
2022;3126752
2023;3126752
2024;3126752
2015;3126802
2016;3126802
2017;3126802
2018;3126802
2019;3126802
2020;3126802
2021;3126802
2022;3126802
2023;3126802
2024;3126802
2015;3127057
2016;3127057
2017;3127057
2018;3127057
2019;3127057
2020;3127057
2021;3127057
2022;3127057
2023;3127057
2024;3127057
2015;3132305
2016;3132305
2017;3132305
2018;3132305
2019;3132305
2020;3132305
2021;3132305
2022;3132305
2023;3132305
2024;3132305
2015;3137007
2016;3137007
2017;3137007
2018;3137007
2019;3137007
2020;3137007
2021;3137007
2022;3137007
2023;3137007
2024;3137007
2015;3138906
2016;3138906
2017;3138906
2018;3138906
2019;3138906
2020;3138906
2021;3138906
2022;3138906
2023;3138906
2024;3138906
2015;3139201
2016;3139201
2017;3139201
2018;3139201
2019;3139201
2020;3139201
2021;3139201
2022;3139201
2023;3139201
2024;3139201
2015;3144300
2016;3144300
2017;3144300
2018;3144300
2019;3144300
2020;3144300
2021;3144300
2022;3144300
2023;3144300
2024;3144300
2015;3145356
2016;3145356
2017;3145356
2018;3145356
2019;3145356
2020;3145356
2021;3145356
2022;3145356
2023;3145356
2024;3145356
2015;3146206
2016;3146206
2017;3146206
2018;3146206
2019;3146206
2020;3146206
2021;3146206
2022;3146206
2023;3146206
2024;3146206
2015;3148509
2016;3148509
2017;3148509
2018;3148509
2019;3148509
2020;3148509
2021;3148509
2022;3148509
2023;3148509
2024;3148509
2015;3152402
2016;3152402
2017;3152402
2018;3152402
2019;3152402
2020;3152402
2021;3152402
2022;3152402
2023;3152402
2024;3152402
2015;3157658
2016;3157658
2017;3157658
2018;3157658
2019;3157658
2020;3157658
2021;3157658
2022;3157658
2023;3157658
2024;3157658
2015;3166709
2016;3166709
2017;3166709
2018;3166709
2019;3166709
2020;3166709
2021;3166709
2022;3166709
2023;3166709
2024;3166709
2015;3165552
2016;3165552
2017;3165552
2018;3165552
2019;3165552
2020;3165552
2021;3165552
2022;3165552
2023;3165552
2024;3165552
2015;3168606
2016;3168606
2017;3168606
2018;3168606
2019;3168606
2020;3168606
2021;3168606
2022;3168606
2023;3168606
2024;3168606
2015;3170305
2016;3170305
2017;3170305
2018;3170305
2019;3170305
2020;3170305
2021;3170305
2022;3170305
2023;3170305
2024;3170305
